"","dateDecision","precedentAlteration","petitioner","respondent","issue","issueArea"
"151","6/23/1997",1,202,25,30180,3
"152","11/4/1997",1,141,238,80010,8
"153","12/10/1997",1,100,27,10170,1
"154","6/15/1998",1,215,27,10020,1
"155","3/24/1999",1,28,170,20150,2
"156","6/23/1999",1,113,4,100120,10
"157","6/28/2000",1,19,25,30180,3
"158","5/21/2001",1,27,16,120010,12
"159","5/13/2002",1,8,26,100120,10
"160","5/20/2002",1,27,100,10370,1
"161","6/20/2002",1,126,28,10130,1
"162","6/24/2002",1,126,28,10560,1
"163","6/26/2003",1,162,28,50010,5
"164","3/8/2004",1,100,28,10270,1
"165","3/1/2005",1,28,126,10130,1
"166","1/23/2006",1,28,114,100100,10
"167","3/1/2006",1,173,184,80010,8
"168","4/18/2007",1,1,206,50020,5
"169","5/21/2007",1,205,134,80010,8
"170","6/14/2007",1,126,28,90480,9
"171","6/28/2007",1,202,21,20050,2
"172","6/28/2007",1,184,238,80010,8
"173","1/21/2009",1,8,174,20400,2
"174","5/26/2009",1,126,28,10120,1
"175","1/21/2010",1,211,343,30140,3
"176","6/28/2010",1,227,3,10600,1
"177","6/16/2011",1,253,27,90220,9
"178","6/17/2013",1,126,27,10560,1
"179","6/26/2015",1,126,27,40040,4
"180","6/26/2015",1,162,7,40010,4
"181","1/12/2016",1,126,28,10580,1
"182","6/27/2018",1,8,249,70030,7
"183","6/21/2018",1,28,233,80100,8
"184","6/26/2018",1,19,28,20310,2
"185","6/21/2019",1,195,3,40070,4
"186","5/20/2019",1,170,28,20160,2
"187","5/13/2019",1,4,174,80060,8
"188","6/27/2019",1,17,251,20010,2
"189","4/20/2020",1,126,28,10580,1
"190","5/17/2021",1,215,19,10040,1
"191","5/23/2022",1,7,215,10020,1
"192","6/24/2022",1,7,165,50020,5
"193","6/27/2022",1,8,21,30170,3
"194","6/29/2023",1,207,232,20070,2
"195","6/28/2024",1,157,316,80130,8
