statenu,state,year,InitialCOVI,InitialRank,FinalCOVI,FinalRank,COVIDCOVI,COVIDRank,COVI2022_IRT,COVI2022_IRTrank
14,IN,2016,0.914,47,0.686,44,,,,
14,IN,2020,0.512,41,1.175,48,1.098355,48,,
14,IN,2022,0.882,36,0.959,35,,,0.692,36
14,IN,2024,0.67,31,,,,,,
15,IA,1996,0.370,29,-0.037,16,,,,
15,IA,2000,-0.005,20,-0.555,12,,,,
15,IA,2004,-0.131,16,-0.251,13,,,,
15,IA,2008,-0.800,10,-0.943,6,,,,
15,IA,2012,-1.278,3,-1.127,4,,,,
15,IA,2016,-1.094,5,-0.757,8,,,,
15,IA,2020,0.052,24,-0.154,19,-0.0718674,21,,
15,IA,2022,-0.099,23,-0.236,17,,,0.084,25
15,IA,2024,0.17,24,,,,,,
16,KS,1996,-0.270,17,0.317,25,,,,
16,KS,2000,-0.343,13,-0.603,9,,,,
16,KS,2004,-0.257,10,0.007,22,,,,
16,KS,2008,0.003,16,0.123,22,,,,
16,KS,2012,0.513,37,0.720,45,,,,
16,KS,2016,0.684,42,0.382,33,,,,
16,KS,2020,0.380,38,0.906,44,0.7966814,41,,
16,KS,2022,1.039,40,1.175,39,,,0.642,35
16,KS,2024,1.07,38,,,,,,
17,KY,1996,0.133,25,0.484,37,,,,
17,KY,2000,0.314,28,0.735,43,,,,
17,KY,2004,0.552,40,0.573,37,,,,
17,KY,2008,0.583,41,0.772,44,,,,
17,KY,2012,0.888,49,0.671,42,,,,
17,KY,2016,0.654,41,0.688,45,,,,
17,KY,2020,0.606,43,0.526,34,0.625478,35,,
17,KY,2022,1.019,39,1.189,40,,,0.870,40
17,KY,2024,1.06,37,,,,,,
18,LA,1996,1.009,48,0.434,34,,,,
18,LA,2000,0.810,44,0.914,44,,,,
18,LA,2004,0.870,48,0.872,48,,,,
18,LA,2008,0.705,44,0.830,48,,,,
18,LA,2012,-0.078,21,0.355,31,,,,
18,LA,2016,-0.143,20,-0.142,21,,,,
18,LA,2020,0.153,27,0.115,26,0.1976334,25,,
18,LA,2022,0.580,31,0.747,33,,,0.733,38
18,LA,2024,0.88,34,,,,,,
19,ME,1996,-1.191,7,-2.170,2,,,,
19,ME,2000,-1.414,4,-1.567,2,,,,
19,ME,2004,-1.509,3,-1.907,3,,,,
19,ME,2008,-1.251,5,-1.636,2,,,,
19,ME,2012,-1.388,1,-1.219,3,,,,
19,ME,2016,-1.091,6,-0.867,6,,,,
19,ME,2020,-0.394,14,-0.152,20,-0.0041696,23,,
19,ME,2022,-0.430,15,-0.574,14,,,-0.082,22
19,ME,2024,-0.48,17,,,,,,
20,MD,1996,0.473,34,0.676,44,,,,
20,MD,2000,0.318,29,-0.209,19,,,,
20,MD,2004,0.260,31,0.013,23,,,,
20,MD,2008,0.156,26,0.243,27,,,,
20,MD,2012,-0.436,16,-0.536,10,,,,
20,MD,2016,-0.736,9,-0.777,7,,,,
20,MD,2020,-0.745,5,-0.983,7,-0.9075818,9,,
20,MD,2022,-0.562,14,-0.708,12,,,-0.846,10
20,MD,2024,-0.49,16,,,,,,
21,MA,1996,0.274,26,-0.762,10,,,,
21,MA,2000,0.182,24,-0.574,11,,,,
21,MA,2004,0.227,27,-0.051,19,,,,
21,MA,2008,0.307,30,0.090,20,,,,
21,MA,2012,0.400,33,-0.187,18,,,,
21,MA,2016,-0.753,8,-0.697,11,,,,
21,MA,2020,-0.524,11,-1.032,5,-0.9741254,7,,
21,MA,2022,-0.600,12,-0.689,13,,,0.148,27
21,MA,2024,-0.79,12,,,,,,
22,MI,1996,0.907,44,-0.004,19,,,,
22,MI,2000,0.816,45,0.974,45,,,,
22,MI,2004,0.483,36,0.474,36,,,,
22,MI,2008,0.542,40,0.250,29,,,,
22,MI,2012,0.690,42,0.449,37,,,,
22,MI,2016,0.820,45,0.594,40,,,,
22,MI,2020,-0.504,13,-0.073,21,-0.1506181,19,,
22,MI,2022,0.250,27,0.101,25,,,0.316,29
22,MI,2024,-0.81,11,,,,,,
23,MN,1996,-1.097,8,-1.544,3,,,,
23,MN,2000,-1.094,7,-0.829,6,,,,
23,MN,2004,-0.857,7,-0.722,8,,,,
23,MN,2008,-1.149,7,-0.894,7,,,,
23,MN,2012,-0.569,12,-0.493,11,,,,
23,MN,2016,-0.573,13,-0.261,16,,,,
23,MN,2020,-0.392,15,0.373,29,0.4779274,30,,
23,MN,2022,0.095,24,-0.026,24,,,-0.043,23
23,MN,2024,-0.68,13,,,,,,
24,MS,1996,0.589,39,0.346,27,,,,
24,MS,2000,0.731,41,0.325,36,,,,
24,MS,2004,0.904,49,0.674,41,,,,
24,MS,2008,0.806,47,0.777,46,,,,
24,MS,2012,0.585,39,0.684,43,,,,
24,MS,2016,1.302,50,1.086,49,,,,
24,MS,2020,0.858,47,1.212,49,1.155245,49,,
24,MS,2022,1.567,49,1.744,50,,,1.454,50
24,MS,2024,1.94,50,,,,,,
25,MO,1996,0.862,41,-0.134,13,,,,
25,MO,2000,0.761,42,0.558,38,,,,
25,MO,2004,0.832,45,0.738,46,,,,
25,MO,2008,0.712,45,0.238,26,,,,
25,MO,2012,0.747,47,0.419,34,,,,
25,MO,2016,0.259,29,0.320,30,,,,
25,MO,2020,0.916,48,0.439,32,0.5516106,32,,
25,MO,2022,1.075,42,1.090,37,,,0.804,39
25,MO,2024,1.29,42,,,,,,
26,MT,1996,-0.731,9,0.384,30,,,,
26,MT,2000,-0.604,10,0.113,32,,,,
26,MT,2004,0.257,30,0.715,44,,,,
26,MT,2008,-0.898,9,-0.502,12,,,,
26,MT,2012,-0.459,15,-0.185,19,,,,
26,MT,2016,-0.212,18,-0.149,20,,,,
26,MT,2020,-0.068,21,0.662,37,0.7230595,38,,
26,MT,2022,0.694,34,0.736,32,,,0.621,34
26,MT,2024,0.71,32,,,,,,
27,NE,1996,-0.221,21,-0.114,14,,,,
27,NE,2000,-0.121,16,-0.231,17,,,,
27,NE,2004,-0.009,20,0.054,25,,,,
27,NE,2008,-0.213,12,-0.021,16,,,,
27,NE,2012,-0.331,17,-0.218,17,,,,
27,NE,2016,-0.401,14,-0.294,14,,,,
27,NE,2020,-0.053,22,0.162,27,0.2605196,27,,
27,NE,2022,0.155,25,0.221,26,,,-0.317,14
27,NE,2024,0.31,26,,,,,,
28,NV,1996,-0.234,19,0.783,47,,,,
28,NV,2000,0.007,21,-0.095,24,,,,
28,NV,2004,0.266,32,-0.111,17,,,,
28,NV,2008,0.432,34,0.158,23,,,,
28,NV,2012,0.053,24,-0.018,24,,,,
28,NV,2016,0.347,30,0.320,31,,,,
28,NV,2020,0.172,28,-0.523,15,-0.532357,16,,
28,NV,2022,-1.884,7,-2.154,8,,,-1.380,6
28,NV,2024,-2.32,6,,,,,,
29,NH,1996,-1.573,4,-1.230,6,,,,
29,NH,2000,-1.222,6,-0.357,14,,,,
29,NH,2004,-1.208,5,-0.532,9,,,,
29,NH,2008,-1.460,3,-0.788,10,,,,
29,NH,2012,-0.577,11,0.081,25,,,,
29,NH,2016,0.622,40,1.218,50,,,,
29,NH,2020,0.783,45,1.437,50,1.523059,50,,
29,NH,2022,1.687,50,1.490,47,,,0.941,45
29,NH,2024,1.57,49,,,,,,
30,NJ,1996,0.473,35,0.676,44,,,,
30,NJ,2000,0.427,34,-0.116,23,,,,
30,NJ,2004,0.103,25,-0.240,14,,,,
30,NJ,2008,0.372,33,0.299,31,,,,
30,NJ,2012,0.051,23,-0.309,15,,,,
30,NJ,2016,-0.631,10,-0.670,12,,,,
30,NJ,2020,-0.262,16,-0.921,8,-1.439124,3,,
30,NJ,2022,-0.582,13,-0.571,15,,,-0.179,21
30,NJ,2024,-0.46,18,,,,,,
31,NM,1996,-0.278,16,0.716,45,,,,
31,NM,2000,-0.048,17,-0.141,21,,,,
31,NM,2004,0.200,26,0.174,30,,,,
31,NM,2008,0.360,32,0.444,36,,,,
31,NM,2012,0.472,36,0.481,39,,,,
31,NM,2016,0.568,37,0.575,38,,,,
31,NM,2020,0.253,31,0.422,30,0.560165,33,,
31,NM,2022,-0.175,21,-0.220,18,,,-0.714,12
31,NM,2024,0.01,21,,,,,,
32,NY,1996,1.431,50,0.431,33,,,,
32,NY,2000,0.850,49,-0.241,16,,,,
32,NY,2004,0.654,44,0.127,27,,,,
32,NY,2008,0.641,43,0.516,39,,,,
32,NY,2012,0.017,22,-0.456,12,,,,
32,NY,2016,0.057,26,0.010,25,,,,
32,NY,2020,-0.247,17,-0.753,10,-0.9187198,8,,
32,NY,2022,-0.299,17,-0.257,16,,,-0.204,19
32,NY,2024,-0.87,10,,,,,,
33,NC,1996,0.384,30,0.396,31,,,,
33,NC,2000,0.318,30,-0.069,27,,,,
33,NC,2004,-0.320,9,-0.368,11,,,,
33,NC,2008,-0.263,11,-0.943,6,,,,
33,NC,2012,-0.482,14,-0.987,6,,,,
33,NC,2016,0.038,24,-0.052,24,,,,
33,NC,2020,-0.028,23,-0.490,16,-0.1886133,18,,
33,NC,2022,-0.134,22,-0.134,21,,,-0.211,18
33,NC,2024,0.66,30,,,,,,
34,ND,1996,-1.905,1,-2.592,1,,,,
34,ND,2000,-2.225,1,-0.606,8,,,,
34,ND,2004,-2.721,1,-2.039,1,,,,
34,ND,2008,-2.420,1,-2.727,1,,,,
34,ND,2012,-1.354,2,-1.034,5,,,,
34,ND,2016,-1.221,4,-0.896,5,,,,
34,ND,2020,-0.656,8,-0.651,13,-0.8193293,11,,
34,ND,2022,-0.809,10,-0.853,10,,,-0.352,13
34,ND,2024,-0.50,15,,,,,,
35,OH,1996,0.495,36,0.142,22,,,,
35,OH,2000,0.454,35,-0.218,18,,,,
35,OH,2004,0.557,41,0.062,26,,,,
35,OH,2008,0.832,49,0.645,42,,,,
35,OH,2012,0.731,45,0.660,41,,,,
35,OH,2016,0.809,44,0.605,42,,,,
35,OH,2020,0.320,34,0.878,43,0.8607751,42,,
35,OH,2022,1.061,41,1.193,41,,,0.915,44
35,OH,2024,1.35,45,,,,,,
36,OK,1996,-0.367,13,0.435,35,,,,
36,OK,2000,-0.156,15,-0.094,25,,,,
36,OK,2004,0.101,24,0.244,31,,,,
36,OK,2008,0.253,27,0.411,35,,,,
36,OK,2012,0.429,35,0.383,32,,,,
36,OK,2016,0.419,33,0.371,32,,,,
36,OK,2020,0.370,37,0.601,36,0.7054991,37,,
36,OK,2022,0.849,35,1.017,36,,,0.877,42
36,OK,2024,0.93,35,,,,,,
37,OR,1996,0.274,27,-0.195,12,,,,
37,OR,2000,0.235,26,-1.838,1,,,,
37,OR,2004,-0.809,8,-1.992,2,,,,
37,OR,2008,-0.083,14,-0.887,9,,,,
37,OR,2012,-1.045,4,-1.674,1,,,,
37,OR,2016,-2.061,1,-2.016,1,,,,
37,OR,2020,-1.688,1,-2.917,1,-2.880679,1,,
37,OR,2022,-2.540,1,-2.429,2,,,-1.500,5
37,OR,2024,-2.46,1,,,,,,
38,PA,1996,0.907,45,-0.004,19,,,,
38,PA,2000,0.816,46,-0.078,26,,,,
38,PA,2004,0.483,37,-0.126,16,,,,
38,PA,2008,0.486,35,0.092,21,,,,
38,PA,2012,0.579,38,0.113,26,,,,
38,PA,2016,0.368,31,0.417,34,,,,
38,PA,2020,0.294,32,0.424,31,0.574586,34,,
38,PA,2022,0.621,32,0.537,30,,,0.390,32
38,PA,2024,0.49,29,,,,,,
39,RI,1996,1.065,49,0.600,40,,,,
39,RI,2000,0.858,50,-0.023,28,,,,
39,RI,2004,0.847,47,0.272,32,,,,
39,RI,2008,0.532,39,0.383,34,,,,
39,RI,2012,0.124,25,-0.103,22,,,,
39,RI,2016,0.079,27,-0.107,22,,,,
39,RI,2020,-0.096,19,-0.593,14,-0.5940384,14,,
39,RI,2022,-0.204,20,-0.189,19,,,0.169,28
39,RI,2024,0.01,22,,,,,,
40,SC,1996,0.506,37,0.624,41,,,,
40,SC,2000,0.694,39,0.711,42,,,,
40,SC,2004,0.926,50,0.974,49,,,,
40,SC,2008,0.862,50,0.883,50,,,,
40,SC,2012,0.739,46,0.693,44,,,,
40,SC,2016,0.696,43,0.821,46,,,,
40,SC,2020,0.741,44,0.981,46,1.049942,47,,
40,SC,2022,1.183,43,1.340,46,,,1.195,47
40,SC,2024,1.33,43,,,,,,
41,SD,1996,-0.154,23,-0.013,17,,,,
41,SD,2000,-0.039,18,-0.162,20,,,,
41,SD,2004,-0.184,12,0.583,39,,,,
41,SD,2008,0.006,17,0.334,32,,,,
41,SD,2012,0.311,30,0.428,35,,,,
41,SD,2016,0.590,38,0.464,36,,,,
41,SD,2020,0.187,29,0.823,41,0.8723477,43,,
41,SD,2022,0.987,37,1.158,38,,,0.872,41
41,SD,2024,1.14,40,,,,,,
42,TN,1996,-0.558,10,1.011,50,,,,
42,TN,2000,0.253,27,1.166,47,,,,
42,TN,2004,0.644,43,1.038,50,,,,
42,TN,2008,0.520,38,0.714,43,,,,
42,TN,2012,0.928,50,1.088,50,,,,
42,TN,2016,0.959,48,0.598,41,,,,
42,TN,2020,0.795,46,1.026,47,0.9253764,44,,
42,TN,2022,1.010,38,1.238,43,,,0.694,37
42,TN,2024,1.10,39,,,,,,
43,TX,1996,-0.317,14,0.915,49,,,,
43,TX,2000,0.332,31,0.571,39,,,,
43,TX,2004,0.607,42,0.675,42,,,,
43,TX,2008,0.487,36,0.608,41,,,,
43,TX,2012,0.640,41,0.761,46,,,,
43,TX,2016,0.914,46,0.900,48,,,,
43,TX,2020,1.292,50,0.933,45,1.008144,46,,
43,TX,2022,1.294,46,1.578,48,,,1.071,46
43,TX,2024,1.50,48,,,,,,
44,UT,1996,0.354,28,-1.267,5,,,,
44,UT,2000,0.218,25,-0.587,10,,,,
44,UT,2004,0.546,39,-0.051,19,,,,
44,UT,2008,0.120,24,-0.130,15,,,,
44,UT,2012,-0.181,19,-0.398,14,,,,
44,UT,2016,-0.803,7,-1.090,3,,,,
44,UT,2020,-0.930,3,-1.033,4,-1.004131,6,,
44,UT,2022,-1.209,8,-2.204,7,,,-1.305,8
44,UT,2024,-2.33,5,,,,,,
45,VT,1996,-0.289,15,-1.007,9,,,,
45,VT,2000,-0.873,9,-0.786,7,,,,
45,VT,2004,-0.237,11,-0.851,6,,,,
45,VT,2008,-0.964,8,-1.058,4,,,,
45,VT,2012,-0.189,18,-0.080,23,,,,
45,VT,2016,-0.106,21,-0.249,17,,,,
45,VT,2020,-0.639,9,0.042,23,-0.583109,15,,
45,VT,2022,-2.295,3,-2.376,3,,,-1.955,2
45,VT,2024,-2.32,7,,,,,,
46,VA,1996,0.862,42,0.351,28,,,,
46,VA,2000,0.761,43,0.666,41,,,,
46,VA,2004,0.843,46,0.822,47,,,,
46,VA,2008,0.817,48,0.857,49,,,,
46,VA,2012,0.701,43,0.433,36,,,,
46,VA,2016,1.054,49,0.900,47,,,,
