state_abbv,state,year,index,rank,indicator_count
ND,North Dakota,2010,.88024807,1,10
ND,North Dakota,2014,.84117919,1,11
ND,North Dakota,2018,.89554083,1,12
ND,North Dakota,2022,.84330809,12,13
OH,Ohio,2010,.62783855,30,15
OH,Ohio,2014,.71253836,18,16
OH,Ohio,2018,.80314064,13,16
OH,Ohio,2022,.81932324,22,17
OK,Oklahoma,2010,.49346441,46,14
OK,Oklahoma,2014,.57260418,48,16
OK,Oklahoma,2018,.63445878,47,16
OK,Oklahoma,2022,.74489439,41,16
OR,Oregon,2010,.71369612,9,14
OR,Oregon,2014,.76078361,10,15
OR,Oregon,2018,.83704156,6,13
OR,Oregon,2022,.8220548,21,16
PA,Pennsylvania,2010,.63286239,28,15
PA,Pennsylvania,2014,.70211506,23,16
PA,Pennsylvania,2018,.72081858,37,16
PA,Pennsylvania,2022,.80122381,29,17
RI,Rhode Island,2010,.64120924,24,14
RI,Rhode Island,2014,.64820462,33,15
RI,Rhode Island,2018,.74879384,28,13
RI,Rhode Island,2022,.85864156,6,18
SC,South Carolina,2010,.54640925,44,12
SC,South Carolina,2014,.73905468,14,15
SC,South Carolina,2018,.75838566,26,15
SC,South Carolina,2022,.8273657,17,16
SD,South Dakota,2010,.71072078,11,13
SD,South Dakota,2014,.70611763,20,16
SD,South Dakota,2018,.73206794,33,16
SD,South Dakota,2022,.73055935,44,16
TN,Tennessee,2010,.65183479,22,14
TN,Tennessee,2014,.64245784,35,16
TN,Tennessee,2018,.74685603,29,16
TN,Tennessee,2022,.73178476,43,16
TX,Texas,2010,.64036053,25,15
TX,Texas,2014,.59852922,42,16
TX,Texas,2018,.7103436,42,16
TX,Texas,2022,.78994179,34,17
UT,Utah,2010,.67116696,17,15
UT,Utah,2014,.63807261,36,8
UT,Utah,2018,.73055178,35,15
UT,Utah,2022,.80082744,30,16
VT,Vermont,2010,.61187696,33,13
VT,Vermont,2014,.73311567,16,15
VT,Vermont,2018,.86238539,3,16
VT,Vermont,2022,.86881101,4,17
VA,Virginia,2010,.6809203,14,15
VA,Virginia,2014,.81921601,3,16
VA,Virginia,2018,.79717278,18,14
VA,Virginia,2022,.85240006,10,18
WA,Washington,2010,.70004851,12,14
WA,Washington,2014,.71211237,19,16
WA,Washington,2018,.79874867,17,15
WA,Washington,2022,.83830434,14,17
WV,West Virginia,2010,.52473342,45,13
WV,West Virginia,2014,.67558068,26,16
WV,West Virginia,2018,.78174424,20,16
WV,West Virginia,2022,.81842113,23,17
WI,Wisconsin,2010,.73907071,5,14
WI,Wisconsin,2014,.81811124,4,16
WI,Wisconsin,2018,.83445269,8,15
WI,Wisconsin,2022,.84183222,13,16
WY,Wyoming,2010,.60601401,34,12
WY,Wyoming,2014,.5947603,44,13
WY,Wyoming,2018,.72493654,36,15
WY,Wyoming,2022,.67869735,49,15
