state_abbv,state,year,index,rank,indicator_count
ND,North Dakota,2008,.84751701,1,12
ND,North Dakota,2012,.86393607,1,12
ND,North Dakota,2016,.83603472,5,12
ND,North Dakota,2020,.87798238,5,14
OH,Ohio,2008,.58331484,37,16
OH,Ohio,2012,.69775963,24,17
OH,Ohio,2016,.76544619,23,17
OH,Ohio,2020,.8170889,26,18
OK,Oklahoma,2008,.54695755,44,15
OK,Oklahoma,2012,.53557539,50,16
OK,Oklahoma,2016,.59154701,51,16
OK,Oklahoma,2020,.71209705,49,16
OR,Oregon,2008,.5957315,36,12
OR,Oregon,2012,.70087463,23,15
OR,Oregon,2016,.73655289,27,15
OR,Oregon,2020,.81088912,28,16
PA,Pennsylvania,2008,.66967303,18,17
PA,Pennsylvania,2012,.71851647,16,16
PA,Pennsylvania,2016,.79783744,13,16
PA,Pennsylvania,2020,.79244643,35,17
RI,Rhode Island,2008,.64752215,23,15
RI,Rhode Island,2012,.65044928,34,16
RI,Rhode Island,2016,.73419029,29,16
RI,Rhode Island,2020,.86607921,8,18
SC,South Carolina,2008,.55409151,41,16
SC,South Carolina,2012,.64853477,35,13
SC,South Carolina,2016,.7934944,15,16
SC,South Carolina,2020,.82052809,24,17
SD,South Dakota,2008,.69110882,10,13
SD,South Dakota,2012,.68793166,29,16
SD,South Dakota,2016,.67127621,43,16
SD,South Dakota,2020,.71918255,48,17
TN,Tennessee,2008,.61922109,31,15
TN,Tennessee,2012,.67156661,31,16
TN,Tennessee,2016,.68687302,41,17
TN,Tennessee,2020,.77279985,37,17
TX,Texas,2008,.62416655,29,16
TX,Texas,2012,.63592392,37,16
TX,Texas,2016,.70556617,36,16
TX,Texas,2020,.79600966,34,17
UT,Utah,2008,.54909825,42,16
UT,Utah,2012,.6932255,27,17
UT,Utah,2016,.70287836,37,17
UT,Utah,2020,.76527077,38,17
VT,Vermont,2008,.68325132,13,17
VT,Vermont,2012,.63036025,39,14
VT,Vermont,2016,.86883104,1,17
VT,Vermont,2020,.90004879,1,17
VA,Virginia,2008,.6446932,24,17
VA,Virginia,2012,.705957,20,17
VA,Virginia,2016,.80343175,12,17
VA,Virginia,2020,.83201718,18,19
WA,Washington,2008,.71361697,8,15
WA,Washington,2012,.72595429,12,16
WA,Washington,2016,.76321167,24,15
WA,Washington,2020,.85112679,12,17
WV,West Virginia,2008,.50440776,47,10
WV,West Virginia,2012,.59661651,45,12
WV,West Virginia,2016,.77293044,21,17
WV,West Virginia,2020,.83521801,15,18
WI,Wisconsin,2008,.80600667,2,16
WI,Wisconsin,2012,.79419565,3,17
WI,Wisconsin,2016,.84331244,4,16
WI,Wisconsin,2020,.87978995,4,17
WY,Wyoming,2008,.61839163,32,13
WY,Wyoming,2012,.66536087,33,14
WY,Wyoming,2016,.73232651,30,16
WY,Wyoming,2020,.73802739,45,16
