"","year","party","national_two_party_vote_share","state","two_party_vote_share"
"1",2020,"Democrat",52.2403258655805,"Alabama",37.0886251666453
"2",2020,"Democrat",52.2403258655805,"Alaska",44.7381512761507
"3",2020,"Democrat",52.2403258655805,"Arizona",50.1568316791293
"4",2020,"Democrat",52.2403258655805,"Arkansas",35.7875667220168
"5",2020,"Democrat",52.2403258655805,"California",64.9089113606676
"6",2020,"Democrat",52.2403258655805,"Colorado",56.9383194923002
"7",2020,"Democrat",52.2403258655805,"Connecticut",60.1950490880778
"8",2020,"Democrat",52.2403258655805,"Delaware",59.6267441649845
"9",2020,"Democrat",52.2403258655805,"District Of Columbia",94.4669538476194
"10",2020,"Democrat",52.2403258655805,"Florida",48.3052453378584
"11",2020,"Democrat",52.2403258655805,"Georgia",50.1193296629086
"12",2020,"Democrat",52.2403258655805,"Hawaii",65.0326646465149
"13",2020,"Democrat",52.2403258655805,"Idaho",34.1228570749221
"14",2020,"Democrat",52.2403258655805,"Illinois",58.6590437328069
"15",2020,"Democrat",52.2403258655805,"Indiana",41.804951992557
"16",2020,"Democrat",52.2403258655805,"Iowa",45.8167369153629
"17",2020,"Democrat",52.2403258655805,"Kansas",42.5065717443686
"18",2020,"Democrat",52.2403258655805,"Kentucky",36.799897099737
"19",2020,"Democrat",52.2403258655805,"Louisiana",40.535559543709
"20",2020,"Democrat",52.2403258655805,"Maine",54.670404582004
"21",2020,"Democrat",52.2403258655805,"Maryland",67.0290470470923
"22",2020,"Democrat",52.2403258655805,"Massachusetts",67.1155495401482
"23",2020,"Democrat",52.2403258655805,"Michigan",51.4135593444095
"24",2020,"Democrat",52.2403258655805,"Minnesota",53.6395136485667
"25",2020,"Democrat",52.2403258655805,"Mississippi",41.6150141726111
"26",2020,"Democrat",52.2403258655805,"Missouri",42.1641793555986
"27",2020,"Democrat",52.2403258655805,"Montana",41.6028199079519
"28",2020,"Democrat",52.2403258655805,"Nebraska",40.2159477533983
"29",2020,"Democrat",52.2403258655805,"Nevada",51.2231173400438
"30",2020,"Democrat",52.2403258655805,"New Hampshire",53.748347721595
"31",2020,"Democrat",52.2403258655805,"New Jersey",58.0712835867948
"32",2020,"Democrat",52.2403258655805,"New Mexico",55.5184901517197
"33",2020,"Democrat",52.2403258655805,"New York",61.7168348930122
"34",2020,"Democrat",52.2403258655805,"North Carolina",49.3158174668133
"35",2020,"Democrat",52.2403258655805,"North Dakota",32.7825915771034
