FIPS,Geographic Name,Geographic Subtype,Total Vote,Joseph R. Biden Jr.,Donald J. Trump,Brock Pierce,Dr. Jo Jorgensen,Howie Hawkins,Donald L. Blankenship,Rocky de la Fuente,Kanye West,Gloria La Riva,Write-in,Alyson Kennedy,John Richard Myers,Brian Carroll,Phil Collins,Blake Huber,Jerry Segal,James Janos,Kyle Kenley Kopitke,Dario Hunter,Joseph Kishore,Bill Hammons,Eric Boddie,Mark Charles,Richard Duncan,Tom Hoefling,Princess Khadijah Jacob-F,Ricki Sue King,Christopher LaFontaine,Keith McCormic,Joe McHugh,H. Brooke Paige,Zac Scalf,Jordan Scott,Jade Simmons,Gary Swing,Sheila 'Samm' Tittle,None of These Candidates,C. L. Gammon
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
44,Rhode Island,State,517757,307486,199922,0,5053,0,0,923,0,847,2759,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,South Carolina,State,2513329,1091541,1385103,0,27916,6907,0,1862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,South Dakota,State,422609,150471,261043,0,11095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Tennessee,State,3053851,1143711,1852475,0,29877,4545,5365,1860,10279,2301,0,2576,0,762,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,68,0,0,0,0
48,Texas,State,11326874,5259215,5890428,0,126268,33412,0,0,0,350,13511,0,0,3207,0,0,0,0,0,0,0,0,146,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Utah,State,1505982,560282,865140,2623,38447,5053,5551,0,7213,1139,17694,0,0,368,0,0,0,0,0,0,0,0,6,0,0,51,0,0,0,0,2229,0,0,0,186,0,0,0,0
50,Vermont,State,367428,242820,112704,100,3608,1310,208,48,1269,166,1942,195,0,209,137,54,65,0,53,0,0,0,0,0,213,0,0,0,856,126,0,1175,29,0,0,141,0,0,0
51,Virginia,State,4460524,2413568,1962430,0,64761,0,0,0,0,0,19765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington,State,4087631,2369612,1584651,0,80500,18289,0,0,0,4840,27252,2487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,West Virginia,State,794731,235984,545382,5,10687,2599,25,0,0,9,16,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,1,0,0,0,0,0,0,0,6,0,0,0,0
55,Wisconsin,State,3298041,1630866,1610184,0,38491,1089,5146,0,411,110,6392,0,0,5259,0,0,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
56,Wyoming,State,276765,73491,193559,2208,5768,0,0,0,0,0,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
